快速碼,商品代號,商品名稱,款式號碼,商品條碼,國際條碼,主供應商名稱,大分類代號,大分類名稱,年度,季節,成本幣別代號,未稅標準成本,含稅標準成本,銷貨幣別代號,未稅標準定價,含稅標準定價
137823,GD1378ND23,GD1378｜裸色 23｜日本GRL高質感軟面彈力方頭短靴,GD1378,,,日本,Z,選品,,,NTD,647.62,680,NTD,"1,410","1,480"
1378245,GD1378ND245,GD1378｜裸色 24.5｜日本GRL高質感軟面彈力方頭短靴,GD1378,,,日本,Z,選品,,,NTD,647.62,680,NTD,"1,410","1,480"
137824,GD1378ND24,GD1378｜裸色 24｜日本GRL高質感軟面彈力方頭短靴,GD1378,,,日本,Z,選品,,,NTD,647.62,680,NTD,"1,410","1,480"
137825,GD1378ND25,GD1378｜裸色 25｜日本GRL高質感軟面彈力方頭短靴,GD1378,,,日本,Z,選品,,,NTD,647.62,680,NTD,"1,410","1,480"
1397225,GD1397BK225,GD1397｜黑色 22.5｜日本GRL鋸齒厚底綁帶長靴,GD1397,114183,,日本,Z,選品,,,NTD,904.76,950,NTD,"1,695","1,780"
1397235,GD1397BK235,GD1397｜黑色 23.5｜日本GRL鋸齒厚底綁帶長靴,GD1397,114184,,日本,Z,選品,,,NTD,904.76,950,NTD,"1,695","1,780"
139723,GD1397BK23,GD1397｜黑色 23｜日本GRL鋸齒厚底綁帶長靴,GD1397,114186,,日本,Z,選品,,,NTD,904.76,950,NTD,"1,695","1,780"
1397245,GD1397BK245,GD1397｜黑色 24.5｜日本GRL鋸齒厚底綁帶長靴,GD1397,114185,,日本,Z,選品,,,NTD,904.76,950,NTD,"1,695","1,780"
139724,GD1397BK24,GD1397｜黑色 24｜日本GRL鋸齒厚底綁帶長靴,GD1397,114187,,日本,Z,選品,,,NTD,904.76,950,NTD,"1,695","1,780"
139725,GD1397BK25,GD1397｜黑色 25｜日本GRL鋸齒厚底綁帶長靴,GD1397,114188,,日本,Z,選品,,,NTD,904.76,950,NTD,"1,695","1,780"
2309,GF2309FF,GF-2309｜F｜訂製可調式手機掛繩,GF-2309,108389,,鞋材/贈品進貨廠商(大陸),gf,訂製贈品,,,NTD,13.33,14,NTD,190,199
2402,GF2402FF,GF-2402｜F｜旅行鞋袋(門市獨家贈品),GF-2402,,,鞋材/贈品進貨廠商(大陸),gf,訂製贈品,,,NTD,51.43,54,NTD,190,199
2403,GF2403FF,GF-2403｜F｜訂製旅行收納3件組,GF-2403,111062,,鞋材/贈品進貨廠商(大陸),gf,訂製贈品,,,NTD,69.52,73,NTD,190,199
2405,GF2405FF,GF-2405｜F｜設計環保飲料袋(顏色隨機出貨),GF-2405,112033,,鞋材/贈品進貨廠商(大陸),gf,訂製贈品,,,NTD,17.14,18,NTD,190,199
2406,GF2406FF,GF-2406｜F｜訂製木漿棉清潔組,GF-2406,112969,,鞋材/贈品進貨廠商(大陸),gf,訂製贈品,,,NTD,23.81,25,NTD,190,199
2407,GF2407FF,GF-2407｜F｜訂製海灘拖鞋,GF-2407,112796,,鞋材/贈品進貨廠商(大陸),gf,訂製贈品,,,NTD,42.86,45,NTD,190,199
2408,GF2408FF,GF-2408｜F｜訂製格子短夾,GF-2408,113501,,鞋材/贈品進貨廠商(大陸),gf,訂製贈品,,,NTD,31.43,33,NTD,190,199
2409,GF2409FF,GF-2409｜F｜訂製旅行收納包,GF-2409,114421,,鞋材/贈品進貨廠商(大陸),gf,訂製贈品,,,NTD,33.33,35,NTD,190,199
2410,GF2410FF,GF-2410｜F｜訂製針織手提包,GF-2410,114422,,鞋材/贈品進貨廠商(大陸),gf,訂製贈品,,,NTD,25.71,27,NTD,190,199
2411,GF2411FF,GF-2411｜F｜訂製提網,GF-2411,115738,,鞋材/贈品進貨廠商(大陸),gf,訂製贈品,,,NTD,24.76,26,NTD,190,199
2412,GF2412FF,GF-2412｜F｜訂製計數跳繩,GF-2412,115086,,鞋材/贈品進貨廠商(大陸),gf,訂製贈品,,,NTD,33.33,35,NTD,190,199
2501,GF2501FF,GF-2501｜F｜品牌防水貼紙一組(10款),GF-2501,115424,,鞋材/贈品進貨廠商(大陸),gf,訂製贈品,,,NTD,9.52,10,NTD,190,199
2502,GF2502FF,GF-2502｜F｜好運手機支架x1(隨機出貨),GF-2502,115603,,鞋材/贈品進貨廠商(大陸),gf,訂製贈品,,,NTD,7.62,8,NTD,190,199
2503,GF2503FF,GF-2503｜F｜竹炭除溼消臭包,GF-2503,115970,,鞋材/贈品進貨廠商(大陸),gf,訂製贈品,,,NTD,17.14,18,NTD,190,199
2504,GF2504FF,GF-2504｜F｜訂製涼感舒眠眼罩,GF-2504,116835,,鞋材/贈品進貨廠商(大陸),gf,訂製贈品,,,NTD,17.14,18,NTD,190,199
2505,GF2505FF,GF-2505｜FREE｜訂製隔熱手套,GF-2505,116421,,鞋材/贈品進貨廠商(大陸),gf,訂製贈品,,,NTD,32.38,34,NTD,190,199
2506,GF2506FF,GF-2506｜依賣場 F｜按摩刮痧板,GF-2506,117279,,鞋材/配件進貨(台灣),gf,訂製贈品,,,NTD,29.52,31,NTD,228,239
2507,GF2507FF,GF-2507｜F｜旅行收納包(顏色隨機),GF-2507,117019,,鞋材/贈品進貨廠商(大陸),gf,訂製贈品,,,NTD,20,21,NTD,190,199
2508,GF2508FF,GF-2508｜F｜輕量大空間半月包(隨機出貨),GF-2508,117684,,鞋材/贈品進貨廠商(大陸),GIFT,訂製贈品,,,NTD,37.14,39,NTD,285,299
2509,GF2509FF,GF-2509｜F｜BONJOUR按摩氣墊梳,GF-2509,118340,,鞋材/配件進貨(台灣),GIFT,訂製贈品,,,NTD,25.71,27,NTD,190,199
2509,GF2509APPFF,GF-2509APP｜F｜APP限定下單贈全家冰仙女紅茶兌換券,GF-2509APP,,,鞋材/配件進貨(台灣),GIFT,訂製贈品,,,NTD,19.05,20,NTD,190,199
2510,GF2510FF,GF-2510｜F｜居家保養保溼修護足霜80ml,GF-2510,117965,,鞋材/贈品進貨廠商(大陸),GIFT,訂製贈品,,,NTD,38.1,40,NTD,237,249
2512,GF2512FF,GF-2512｜依賣場 F｜BONJOUR隨行便利環保袋(隨機出貨),GF-2512,118764,,鞋材/贈品進貨廠商(大陸),GIFT,訂製贈品,,,NTD,21.9,23,NTD,285,299
2601,GF2601FF,GF-2601｜依賣場 F｜BONJOUR經典帆布包,GF-2601,118986,,鞋材/贈品進貨廠商(大陸),GIFT,訂製贈品,,,NTD,26.67,28,NTD,343,360
2602,GF2602FF,GF-2602｜依賣場 F｜BONJOUR經典隨行搖搖杯(隨機出貨),GF-2602,119348,,鞋材/贈品進貨廠商(大陸),GIFT,訂製贈品,,,NTD,28.57,30,NTD,285,299
2603,GF2603FF,GF-2603｜依賣場 F｜BONJOUR不鏽鋼環保餐具組,GF-2603,119666,,鞋材/贈品進貨廠商(大陸),GIFT,訂製贈品,,,NTD,19.05,20,NTD,237,249
2604,GF2604FF,GF-2604｜依賣場 F｜BONJOUR自動伸縮隨身捲尺(隨機出貨),GF-2604,119669,,鞋材/贈品進貨廠商(大陸),GIFT,訂製贈品,,,NTD,20.95,22,NTD,142,149
2605,GF2605FF,GF-2605｜依賣場 F｜BONJOUR手提保溫保冷袋,GF-2605,119672,,鞋材/贈品進貨廠商(大陸),GIFT,訂製贈品,,,NTD,22.86,24,NTD,248,260
2606,GF2606FF,GF-2606｜F｜BONJOUR多用途抽屜式收納盒,GF-2606,119920,,鞋材/贈品進貨廠商(大陸),GIFT,訂製贈品,,,NTD,40,42,NTD,237,249
2607,GF2607FF,GF-2607｜F｜BONJOUR經典隨身野餐墊,GF-2607,120707,,鞋材/贈品進貨廠商(大陸),GIFT,訂製贈品,,,NTD,20,21,NTD,190,199
2608,GF2608FF,GF-2608｜依賣場 F｜BONJOUR幸運燈箱磁鐵(隨機出貨),GF-2608,120324,,鞋材/贈品進貨廠商(大陸),GIFT,訂製贈品,,,NTD,23.81,25,NTD,95,100
2609,GF2609FF,GF-2609｜F｜BONJOUR磁吸收納包,GF-2609,120854,,鞋材/贈品進貨廠商(大陸),GIFT,訂製贈品,,,NTD,29.52,31,NTD,190,199
26,GF26VIPAFF,GF-26VIPA｜依賣場F｜2026BONJOUR訂製桌曆,GF-26VIPA,,,鞋材/配件進貨(台灣),GIFT,訂製贈品,,,NTD,44.76,47,NTD,45,47
26,GF26VIPBFF,GF-26VIPB｜依賣場F｜2026BONJOUR訂製紅包袋,GF-26VIPB,,,鞋材/配件進貨(台灣),GIFT,訂製贈品,,,NTD,22.86,24,NTD,23,24
5,GTS005FF,GTS005｜F (2入)｜足部護理GelS-Mart吉斯邁大拇趾外翻凝膠護墊,GTS005,59573,,吉斯邁,A,鞋材襪款,,,NTD,222.86,234,NTD,371,390
6,GTS006FF,GTS006｜一組一入｜足部護理GelSmart吉斯邁拇趾外翻雙效凝膠護墊,GTS006,59574,,鞋材/配件進貨(台灣),A,鞋材襪款,,,NTD,222.86,234,NTD,371,390
10,GTS010FF,GTS010｜F (2入)｜足部護理GelS-Mart吉斯邁小趾外翻凝膠護墊,GTS010,59463,,吉斯邁,A,鞋材襪款,,,NTD,222.86,234,NTD,371,390
10,IGS010FF,IGS010｜C F｜攜帶式烘鞋機iGRASS,IGS010,84317,,群曜,A,鞋材襪款,,,NTD,222.86,234,NTD,752,790
45,IGS045FF,IGS045｜D F｜igrass多功能伸縮烘鞋機,IGS045,112291,,群曜,A,鞋材襪款,,,NTD,420,441,NTD,752,790
24225,ML024WT225,M-L024｜白色 22.5｜ 日本GRL極簡風廓爾喀涼鞋E.,ML024,,,日本,Z,選品,,,NTD,452.38,475,NTD,933,980
24235,ML024WT235,M-L024｜白色 23.5｜ 日本GRL極簡風廓爾喀涼鞋E.,ML024,,,日本,Z,選品,,,NTD,452.38,475,NTD,933,980
2423,ML024WT23,M-L024｜白色 23｜ 日本GRL極簡風廓爾喀涼鞋E.,ML024,,,日本,Z,選品,,,NTD,452.38,475,NTD,933,980
24245,ML024WT245,M-L024｜白色 24.5｜ 日本GRL極簡風廓爾喀涼鞋E.,ML024,,,日本,Z,選品,,,NTD,452.38,475,NTD,933,980
2424,ML024WT24,M-L024｜白色 24｜ 日本GRL極簡風廓爾喀涼鞋E.,ML024,,,日本,Z,選品,,,NTD,452.38,475,NTD,933,980
2425,ML024WT25,M-L024｜白色 25｜ 日本GRL極簡風廓爾喀涼鞋E.,ML024,,,日本,Z,選品,,,NTD,452.38,475,NTD,933,980
24225,ML024BR225,M-L024｜棕色 22.5｜ 日本GRL極簡風廓爾喀涼鞋E.,ML024,,,日本,Z,選品,,,NTD,452.38,475,NTD,933,980
24235,ML024BR235,M-L024｜棕色 23.5｜ 日本GRL極簡風廓爾喀涼鞋E.,ML024,,,日本,Z,選品,,,NTD,452.38,475,NTD,933,980
2423,ML024BR23,M-L024｜棕色 23｜ 日本GRL極簡風廓爾喀涼鞋E.,ML024,,,日本,Z,選品,,,NTD,452.38,475,NTD,933,980
24245,ML024BR245,M-L024｜棕色 24.5｜ 日本GRL極簡風廓爾喀涼鞋E.,ML024,,,日本,Z,選品,,,NTD,452.38,475,NTD,933,980
