快速碼,商品代號,商品名稱,款式號碼,商品條碼,國際條碼,主供應商名稱,大分類代號,大分類名稱,年度,季節,成本幣別代號,未稅標準成本,含稅標準成本,銷貨幣別代號,未稅標準定價,含稅標準定價
1,A001FF,A001｜F｜試穿間購物提袋,A001,,,鞋材/贈品進貨廠商(大陸),O,其他,,,NTD,4.02,4.22,NTD,0,0
2,A002FF,A002｜F｜試穿間試穿襪,A002,,,鞋材/贈品進貨廠商(大陸),O,其他,,,NTD,9.52,10,NTD,0,0
3,A003FF,A003｜F｜試穿間瓶裝水,A003,,,鞋材/贈品進貨廠商(大陸),O,其他,,,NTD,151.43,159,NTD,0,0
100,ART100FF,Art-100｜F 34x32cm｜皮革拋光擦拭布,Art-100,59396,,川閎,A,鞋材襪款,,,NTD,52.38,55,NTD,105,110
120,ART120FM,Art-120｜F M(38-40)｜德國製GO FRESH!拋棄式衛生鞋墊,Art-120,64328,,川閎,A,鞋材襪款,,,NTD,114.29,120,NTD,229,240
120,ART120FS,Art-120｜F S(35-37)｜德國製GO FRESH!拋棄式衛生鞋墊,Art-120,64329,,川閎,A,鞋材襪款,,,NTD,114.29,120,NTD,229,240
12136,ART121F36,Art-121｜F 36｜蹠骨減壓舒適墊Pedag,Art-121,63958,,川閎,A,鞋材襪款,,,NTD,180.95,190,NTD,362,380
12137,ART121F37,Art-121｜F 37｜蹠骨減壓舒適墊Pedag,Art-121,63959,,川閎,A,鞋材襪款,,,NTD,180.95,190,NTD,362,380
12138,ART121F38,Art-121｜F 38｜蹠骨減壓舒適墊Pedag,Art-121,63960,,川閎,A,鞋材襪款,,,NTD,180.95,190,NTD,362,380
12139,ART121F39,Art-121｜F 39｜蹠骨減壓舒適墊Pedag,Art-121,63961,,川閎,A,鞋材襪款,,,NTD,180.95,190,NTD,362,380
129,ART129FF,Art-129｜F｜足跟舒適平衡墊Pedag,Art-129,59397,,川閎,A,鞋材襪款,,,NTD,142.86,150,NTD,286,300
131,ART131FF,Art-131｜F (一對)｜腳後跟止磨貼Pedag,Art-131,59604,,川閎,A,鞋材襪款,,,NTD,57.14,60,NTD,114,120
137,ART137FF,Art-137｜F (2雙)｜腳後跟帶止滑貼Pedag,Art-137,59456,,川閎,A,鞋材襪款,,,NTD,57.14,60,NTD,114,120
14236,ART142F36,Art-142｜F 36｜蹠骨減壓吸震鞋墊Pedag,Art-142,59458,,川閎,A,鞋材襪款,,,NTD,228.57,240,NTD,457,480
14237,ART142F37,Art-142｜F 37｜蹠骨減壓吸震鞋墊Pedag,Art-142,59459,,川閎,A,鞋材襪款,,,NTD,228.57,240,NTD,457,480
14238,ART142F38,Art-142｜F 38｜蹠骨減壓吸震鞋墊Pedag,Art-142,59460,,川閎,A,鞋材襪款,,,NTD,228.57,240,NTD,457,480
14239,ART142F39,Art-142｜F 39｜蹠骨減壓吸震鞋墊Pedag,Art-142,59457,,川閎,A,鞋材襪款,,,NTD,228.57,240,NTD,457,480
15435,ART154F35,Art-154｜F 35｜足部活性碳鞋墊Pedag,Art-154,59566,,川閎,A,鞋材襪款,,,NTD,238.1,250,NTD,476,500
15436,ART154F36,Art-154｜F 36｜足部活性碳鞋墊Pedag,Art-154,59567,,川閎,A,鞋材襪款,,,NTD,238.1,250,NTD,476,500
15437,ART154F37,Art-154｜F 37｜足部活性碳鞋墊Pedag,Art-154,59568,,川閎,A,鞋材襪款,,,NTD,238.1,250,NTD,476,500
15438,ART154F38,Art-154｜F 38｜足部活性碳鞋墊Pedag,Art-154,59569,,川閎,A,鞋材襪款,,,NTD,238.1,250,NTD,476,500
15439,ART154F39,Art-154｜F 39｜足部活性碳鞋墊Pedag,Art-154,59563,,川閎,A,鞋材襪款,,,NTD,238.1,250,NTD,476,500
15440,ART154F40,Art-154｜F 40｜足部活性碳鞋墊Pedag,Art-154,59564,,川閎,A,鞋材襪款,,,NTD,238.1,250,NTD,476,500
15441,ART154F41,Art-154｜F 41｜足部活性碳鞋墊Pedag,Art-154,59565,,川閎,A,鞋材襪款,,,NTD,238.1,250,NTD,476,500
15442,ART154F42,Art-154｜F 42｜足部活性碳鞋墊Pedag,Art-154,59562,,川閎,A,鞋材襪款,,,NTD,238.1,250,NTD,476,500
166,ART166FM,Art-166｜F M(38-40)｜真皮足弓舒適墊Pedag,Art-166,59352,,川閎,A,鞋材襪款,,,NTD,157.14,165,NTD,400,420
166,ART166FS,Art-166｜F S(35-37)｜真皮足弓舒適墊Pedag,Art-166,59355,,川閎,A,鞋材襪款,,,NTD,157.14,165,NTD,400,420
182,ART182FM,Art-182｜F M(38-40)｜德國Pedag防滑吸震凝膠鞋墊,Art-182,77320,,川閎,A,鞋材襪款,,,NTD,180.95,190,NTD,362,380
182,ART182FS,Art-182｜F S(35-37)｜德國Pedag防滑吸震凝膠鞋墊,Art-182,77321,,川閎,A,鞋材襪款,,,NTD,180.95,190,NTD,362,380
285,ART285FF,Art-285｜F (75ML)｜美足防磨隱形噴霧Pedag,Art-285,59358,,川閎,A,鞋材襪款,,,NTD,16.19,17,NTD,248,260
643,ART643FF,Art-643｜F (一盒)｜麂皮刷拭盒Pedag德國製,Art-643,59100,,川閎,A,鞋材襪款,,,NTD,57.14,60,NTD,238,250
803,ART803FF,Art-803｜F (一支入)｜麂皮皺紋膠刷Pedag,Art-803,59099,,川閎,A,鞋材襪款,,,NTD,85.71,90,NTD,171,180
813,ART813FF,Art-813｜F｜鞋子DIY清潔Pedag蜂巢海綿,Art-813,59350,,川閎,A,鞋材襪款,,,NTD,42.86,45,NTD,85,89
821,ART821NOFF,Art-821no｜F｜皮革快速清潔濕巾Pedag,Art-821no,68071,,川閎,A,鞋材襪款,,,NTD,95.24,100,NTD,190,200
821,ART821YESFF,Art-821yes｜F｜鞋類快速清潔濕巾Pedag,Art-821yes,68072,,川閎,A,鞋材襪款,,,NTD,95.24,100,NTD,190,200
8301,ART8301FF,Art-8301｜F｜皮革清潔保養泡沫組合Pedag,Art-8301,,,川閎,A,鞋材襪款,,,NTD,185.71,195,NTD,371,390
833,ART833FF,ART-833｜F (250ML)｜皮革防潑水噴霧Pedag,ART-833,62775,,川閎,A,鞋材襪款,,,NTD,171.43,180,NTD,343,360
845,ART845FF,Art-845｜F｜光滑皮革橡皮擦Pedag,Art-845,59364,,川閎,A,鞋材襪款,,,NTD,104.76,110,NTD,210,220
85030,ART85030FF,Art-85030｜F｜Tamaris保養乳膏75M-L（透明）E.,Art-85030,64331,,川閎,A,鞋材襪款,,,NTD,114.29,120,NTD,229,240
863,ART863FF,Art-863｜F (100ML)｜皮革亮光蠟Pedag高品質貂油,Art-863,59616,,川閎,A,鞋材襪款,,,NTD,119.05,125,NTD,238,250
865,ART865FF,Art-865｜F (50ML)｜皮革保養乳膠Pedag天然羊毛脂,Art-865,59401,,川閎,A,鞋材襪款,,,NTD,123.81,130,NTD,248,260
2472225,2472CM225,B0247｜2公分平底 22.5｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,57599,,勤茂,B,BONJOUR鞋全系列,,,NTD,680,714,NTD,"1,886","1,980"
2472235,2472CM235,B0247｜2公分平底 23.5｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56433,,勤茂,B,BONJOUR鞋全系列,,,NTD,680,714,NTD,"1,886","1,980"
247223,2472CM23,B0247｜2公分平底 23｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56432,,勤茂,B,BONJOUR鞋全系列,,,NTD,680,714,NTD,"1,886","1,980"
2472245,2472CM245,B0247｜2公分平底 24.5｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56428,,勤茂,B,BONJOUR鞋全系列,,,NTD,680,714,NTD,"1,886","1,980"
247224,2472CM24,B0247｜2公分平底 24｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56434,,勤茂,B,BONJOUR鞋全系列,,,NTD,680,714,NTD,"1,886","1,980"
2472255,2472CM255,B0247｜2公分平底 25.5｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56430,,勤茂,B,BONJOUR鞋全系列,,,NTD,680,714,NTD,"1,886","1,980"
247225,2472CM25,B0247｜2公分平底 25｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56429,,勤茂,B,BONJOUR鞋全系列,,,NTD,680,714,NTD,"1,886","1,980"
247226,2472CM26,B0247｜2公分平底 26｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56431,,勤茂,B,BONJOUR鞋全系列,,,NTD,680,714,NTD,"1,886","1,980"
2473225,2473CM225,B0247｜3公分低粗跟 22.5｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,57597,,勤茂,B,BONJOUR鞋全系列,,,NTD,710.48,746,NTD,"1,886","1,980"
2473235,2473CM235,B0247｜3公分低粗跟 23.5｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56720,,勤茂,B,BONJOUR鞋全系列,,,NTD,710.48,746,NTD,"1,886","1,980"
247323,2473CM23,B0247｜3公分低粗跟 23｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56716,,勤茂,B,BONJOUR鞋全系列,,,NTD,710.48,746,NTD,"1,886","1,980"
2473245,2473CM245,B0247｜3公分低粗跟 24.5｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56700,,勤茂,B,BONJOUR鞋全系列,,,NTD,710.48,746,NTD,"1,886","1,980"
247324,2473CM24,B0247｜3公分低粗跟 24｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56724,,勤茂,B,BONJOUR鞋全系列,,,NTD,710.48,746,NTD,"1,886","1,980"
2473255,2473CM255,B0247｜3公分低粗跟 25.5｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56708,,勤茂,B,BONJOUR鞋全系列,,,NTD,710.48,746,NTD,"1,886","1,980"
247325,2473CM25,B0247｜3公分低粗跟 25｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56704,,勤茂,B,BONJOUR鞋全系列,,,NTD,710.48,746,NTD,"1,886","1,980"
247326,2473CM26,B0247｜3公分低粗跟 26｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56712,,勤茂,B,BONJOUR鞋全系列,,,NTD,710.48,746,NTD,"1,886","1,980"
2474225,2474CM225,B0247｜4公分楔型 22.5｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,57601,,正耀,B,BONJOUR鞋全系列,,,NTD,650.48,683,NTD,"1,695","1,780"
2474235,2474CM235,B0247｜4公分楔型 23.5｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56723,,正耀,B,BONJOUR鞋全系列,,,NTD,650.48,683,NTD,"1,695","1,780"
247423,2474CM23,B0247｜4公分楔型 23｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56719,,正耀,B,BONJOUR鞋全系列,,,NTD,650.48,683,NTD,"1,695","1,780"
2474245,2474CM245,B0247｜4公分楔型 24.5｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56703,,正耀,B,BONJOUR鞋全系列,,,NTD,650.48,683,NTD,"1,695","1,780"
247424,2474CM24,B0247｜4公分楔型 24｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56727,,正耀,B,BONJOUR鞋全系列,,,NTD,650.48,683,NTD,"1,695","1,780"
2474255,2474CM255,B0247｜4公分楔型 25.5｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56711,,正耀,B,BONJOUR鞋全系列,,,NTD,650.48,683,NTD,"1,695","1,780"
247425,2474CM25,B0247｜4公分楔型 25｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56707,,正耀,B,BONJOUR鞋全系列,,,NTD,650.48,683,NTD,"1,695","1,780"
247426,2474CM26,B0247｜4公分楔型 26｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56715,,正耀,B,BONJOUR鞋全系列,,,NTD,650.48,683,NTD,"1,695","1,780"
2475225,2475CM225,B0247｜5公分中粗跟 22.5｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,57598,,勤茂,B,BONJOUR鞋全系列,,,NTD,710.48,746,NTD,"1,886","1,980"
2475235,2475CM235,B0247｜5公分中粗跟 23.5｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56721,,勤茂,B,BONJOUR鞋全系列,,,NTD,710.48,746,NTD,"1,886","1,980"
247523,2475CM23,B0247｜5公分中粗跟 23｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56717,,勤茂,B,BONJOUR鞋全系列,,,NTD,710.48,746,NTD,"1,886","1,980"
2475245,2475CM245,B0247｜5公分中粗跟 24.5｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56701,,勤茂,B,BONJOUR鞋全系列,,,NTD,710.48,746,NTD,"1,886","1,980"
247524,2475CM24,B0247｜5公分中粗跟 24｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56725,,勤茂,B,BONJOUR鞋全系列,,,NTD,710.48,746,NTD,"1,886","1,980"
2475255,2475CM255,B0247｜5公分中粗跟 25.5｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56709,,勤茂,B,BONJOUR鞋全系列,,,NTD,710.48,746,NTD,"1,886","1,980"
247525,2475CM25,B0247｜5公分中粗跟 25｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56705,,勤茂,B,BONJOUR鞋全系列,,,NTD,710.48,746,NTD,"1,886","1,980"
247526,2475CM26,B0247｜5公分中粗跟 26｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56713,,勤茂,B,BONJOUR鞋全系列,,,NTD,710.48,746,NTD,"1,886","1,980"
2477225,2477CM225,B0247｜7公分高跟 22.5｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,57600,,正耀,B,BONJOUR鞋全系列,,,NTD,650.48,683,NTD,"1,695","1,780"
2477235,2477CM235,B0247｜7公分高跟 23.5｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56722,,正耀,B,BONJOUR鞋全系列,,,NTD,650.48,683,NTD,"1,695","1,780"
247723,2477CM23,B0247｜7公分高跟 23｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56718,,正耀,B,BONJOUR鞋全系列,,,NTD,650.48,683,NTD,"1,695","1,780"
2477245,2477CM245,B0247｜7公分高跟 24.5｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56702,,正耀,B,BONJOUR鞋全系列,,,NTD,650.48,683,NTD,"1,695","1,780"
247724,2477CM24,B0247｜7公分高跟 24｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56726,,正耀,B,BONJOUR鞋全系列,,,NTD,650.48,683,NTD,"1,695","1,780"
2477255,2477CM255,B0247｜7公分高跟 25.5｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56710,,正耀,B,BONJOUR鞋全系列,,,NTD,650.48,683,NTD,"1,695","1,780"
247725,2477CM25,B0247｜7公分高跟 25｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56706,,正耀,B,BONJOUR鞋全系列,,,NTD,650.48,683,NTD,"1,695","1,780"
247726,2477CM26,B0247｜7公分高跟 26｜357靜音氣墊高跟鞋/平底鞋(羊皮製),B0247,56714,,正耀,B,BONJOUR鞋全系列,,,NTD,650.48,683,NTD,"1,695","1,780"
283225,283BK225,B0283｜黑色 22.5｜357加強版AIR氣墊工作鞋(牛革製),B0283,66099,,勤茂,B,BONJOUR鞋全系列,,,NTD,755.24,793,NTD,"1,886","1,980"
283235,283BK235,B0283｜黑色 23.5｜357加強版AIR氣墊工作鞋(牛革製),B0283,66100,,勤茂,B,BONJOUR鞋全系列,,,NTD,755.24,793,NTD,"1,886","1,980"
28323,283BK23,B0283｜黑色 23｜357加強版AIR氣墊工作鞋(牛革製),B0283,66103,,勤茂,B,BONJOUR鞋全系列,,,NTD,755.24,793,NTD,"1,886","1,980"
283245,283BK245,B0283｜黑色 24.5｜357加強版AIR氣墊工作鞋(牛革製),B0283,66101,,勤茂,B,BONJOUR鞋全系列,,,NTD,755.24,793,NTD,"1,886","1,980"
28324,283BK24,B0283｜黑色 24｜357加強版AIR氣墊工作鞋(牛革製),B0283,66104,,勤茂,B,BONJOUR鞋全系列,,,NTD,755.24,793,NTD,"1,886","1,980"
283255,283BK255,B0283｜黑色 25.5｜357加強版AIR氣墊工作鞋(牛革製),B0283,66102,,勤茂,B,BONJOUR鞋全系列,,,NTD,755.24,793,NTD,"1,886","1,980"
28325,283BK25,B0283｜黑色 25｜357加強版AIR氣墊工作鞋(牛革製),B0283,66105,,勤茂,B,BONJOUR鞋全系列,,,NTD,755.24,793,NTD,"1,886","1,980"
28326,283BK26,B0283｜黑色 26｜357加強版AIR氣墊工作鞋(牛革製),B0283,66106,,勤茂,B,BONJOUR鞋全系列,,,NTD,755.24,793,NTD,"1,886","1,980"
28835,288WT35,B0288｜白色 35｜全真皮超舒適2WAY小白鞋,B0288,64336,,連成,B,BONJOUR鞋全系列,,,NTD,659.05,692,NTD,"1,790","1,880"
28836,288WT36,B0288｜白色 36｜全真皮超舒適2WAY小白鞋,B0288,64338,,連成,B,BONJOUR鞋全系列,,,NTD,659.05,692,NTD,"1,790","1,880"
28837,288WT37,B0288｜白色 37｜全真皮超舒適2WAY小白鞋,B0288,64340,,連成,B,BONJOUR鞋全系列,,,NTD,659.05,692,NTD,"1,790","1,880"
28838,288WT38,B0288｜白色 38｜全真皮超舒適2WAY小白鞋,B0288,64342,,連成,B,BONJOUR鞋全系列,,,NTD,659.05,692,NTD,"1,790","1,880"
28839,288WT39,B0288｜白色 39｜全真皮超舒適2WAY小白鞋,B0288,64344,,連成,B,BONJOUR鞋全系列,,,NTD,659.05,692,NTD,"1,790","1,880"
28840,288WT40,B0288｜白色 40｜全真皮超舒適2WAY小白鞋,B0288,64346,,連成,B,BONJOUR鞋全系列,,,NTD,659.05,692,NTD,"1,790","1,880"
28841,288WT41,B0288｜白色 41｜全真皮超舒適2WAY小白鞋,B0288,66404,,連成,B,BONJOUR鞋全系列,,,NTD,659.05,692,NTD,"1,790","1,880"
28842,288WT42,B0288｜白色 42｜全真皮超舒適2WAY小白鞋,B0288,66406,,連成,B,BONJOUR鞋全系列,,,NTD,659.05,692,NTD,"1,790","1,880"
32335,323WT35,B0323｜白色 35｜抗菌涼感高透氣機能針織休閒鞋,B0323,70017,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32336,323WT36,B0323｜白色 36｜抗菌涼感高透氣機能針織休閒鞋,B0323,70025,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32337,323WT37,B0323｜白色 37｜抗菌涼感高透氣機能針織休閒鞋,B0323,70033,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32338,323WT38,B0323｜白色 38｜抗菌涼感高透氣機能針織休閒鞋,B0323,70041,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32339,323WT39,B0323｜白色 39｜抗菌涼感高透氣機能針織休閒鞋,B0323,69985,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32340,323WT40,B0323｜白色 40｜抗菌涼感高透氣機能針織休閒鞋,B0323,69993,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32341,323WT41,B0323｜白色 41｜抗菌涼感高透氣機能針織休閒鞋,B0323,70001,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32342,323WT42,B0323｜白色 42｜抗菌涼感高透氣機能針織休閒鞋,B0323,70009,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32335,323GY35,B0323｜灰色 35｜抗菌涼感高透氣機能針織休閒鞋,B0323,70015,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32336,323GY36,B0323｜灰色 36｜抗菌涼感高透氣機能針織休閒鞋,B0323,70023,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32337,323GY37,B0323｜灰色 37｜抗菌涼感高透氣機能針織休閒鞋,B0323,70031,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32338,323GY38,B0323｜灰色 38｜抗菌涼感高透氣機能針織休閒鞋,B0323,70039,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32339,323GY39,B0323｜灰色 39｜抗菌涼感高透氣機能針織休閒鞋,B0323,69983,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32340,323GY40,B0323｜灰色 40｜抗菌涼感高透氣機能針織休閒鞋,B0323,69991,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32341,323GY41,B0323｜灰色 41｜抗菌涼感高透氣機能針織休閒鞋,B0323,69999,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32342,323GY42,B0323｜灰色 42｜抗菌涼感高透氣機能針織休閒鞋,B0323,70007,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32335,323RD35,B0323｜紅色 35｜抗菌涼感高透氣機能針織休閒鞋,B0323,70021,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32336,323RD36,B0323｜紅色 36｜抗菌涼感高透氣機能針織休閒鞋,B0323,70029,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32337,323RD37,B0323｜紅色 37｜抗菌涼感高透氣機能針織休閒鞋,B0323,70037,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32338,323RD38,B0323｜紅色 38｜抗菌涼感高透氣機能針織休閒鞋,B0323,70045,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32339,323RD39,B0323｜紅色 39｜抗菌涼感高透氣機能針織休閒鞋,B0323,69989,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32340,323RD40,B0323｜紅色 40｜抗菌涼感高透氣機能針織休閒鞋,B0323,69997,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32341,323RD41,B0323｜紅色 41｜抗菌涼感高透氣機能針織休閒鞋,B0323,70005,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32342,323RD42,B0323｜紅色 42｜抗菌涼感高透氣機能針織休閒鞋,B0323,70013,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32335,323PK35,B0323｜粉色 35｜抗菌涼感高透氣機能針織休閒鞋,B0323,70018,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32336,323PK36,B0323｜粉色 36｜抗菌涼感高透氣機能針織休閒鞋,B0323,70026,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32337,323PK37,B0323｜粉色 37｜抗菌涼感高透氣機能針織休閒鞋,B0323,70034,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32338,323PK38,B0323｜粉色 38｜抗菌涼感高透氣機能針織休閒鞋,B0323,70042,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32339,323PK39,B0323｜粉色 39｜抗菌涼感高透氣機能針織休閒鞋,B0323,69986,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32340,323PK40,B0323｜粉色 40｜抗菌涼感高透氣機能針織休閒鞋,B0323,69994,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32341,323PK41,B0323｜粉色 41｜抗菌涼感高透氣機能針織休閒鞋,B0323,70002,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32342,323PK42,B0323｜粉色 42｜抗菌涼感高透氣機能針織休閒鞋,B0323,70010,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32335,323MWB35,B0323｜混黑白 35｜抗菌涼感高透氣機能針織休閒鞋,B0323,70019,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32336,323MWB36,B0323｜混黑白 36｜抗菌涼感高透氣機能針織休閒鞋,B0323,70027,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32337,323MWB37,B0323｜混黑白 37｜抗菌涼感高透氣機能針織休閒鞋,B0323,70035,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32338,323MWB38,B0323｜混黑白 38｜抗菌涼感高透氣機能針織休閒鞋,B0323,70043,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32339,323MWB39,B0323｜混黑白 39｜抗菌涼感高透氣機能針織休閒鞋,B0323,69987,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32340,323MWB40,B0323｜混黑白 40｜抗菌涼感高透氣機能針織休閒鞋,B0323,69995,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32341,323MWB41,B0323｜混黑白 41｜抗菌涼感高透氣機能針織休閒鞋,B0323,70003,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32342,323MWB42,B0323｜混黑白 42｜抗菌涼感高透氣機能針織休閒鞋,B0323,70011,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32335,323BK35,B0323｜黑色 35｜抗菌涼感高透氣機能針織休閒鞋,B0323,70016,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32336,323BK36,B0323｜黑色 36｜抗菌涼感高透氣機能針織休閒鞋,B0323,70024,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32337,323BK37,B0323｜黑色 37｜抗菌涼感高透氣機能針織休閒鞋,B0323,70032,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32338,323BK38,B0323｜黑色 38｜抗菌涼感高透氣機能針織休閒鞋,B0323,70040,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32339,323BK39,B0323｜黑色 39｜抗菌涼感高透氣機能針織休閒鞋,B0323,69984,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32340,323BK40,B0323｜黑色 40｜抗菌涼感高透氣機能針織休閒鞋,B0323,69992,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32341,323BK41,B0323｜黑色 41｜抗菌涼感高透氣機能針織休閒鞋,B0323,70000,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32342,323BK42,B0323｜黑色 42｜抗菌涼感高透氣機能針織休閒鞋,B0323,70008,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32335,323GN35,B0323｜綠色 35｜抗菌涼感高透氣機能針織休閒鞋,B0323,70020,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
32336,323GN36,B0323｜綠色 36｜抗菌涼感高透氣機能針織休閒鞋,B0323,70028,,同宏,B,BONJOUR鞋全系列,,,NTD,476.19,500,NTD,"1,029","1,080"
